"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","soco_jc_survey","","text","Record ID","","","","","","","","","","","","",""
"survey_intro","soco_jc_survey","","descriptive","<div style=""background: linear-gradient(135deg, #1A1F26, #2B2F33); color: white; padding: 22px 24px; border-radius: 16px; margin-bottom: 24px; box-shadow: 0 4px 14px rgba(0,0,0,0.18); border-top: 6px solid #E25A4E;""><div style=""font-size: 28px; font-weight: 800; line-height:1.15; margin-bottom: 14px;"">SoCO Journal Club<br>Pre-Survey</div><div style=""font-size: 18px; font-weight: 700; line-height:1.35; margin-bottom: 14px; color:#F2F4F6;"">Adjuvant Radiation After Complete Excision of Primary <span style=""color:#E25A4E;"">Merkel Cell Carcinoma</span></div><div style=""font-size: 15.5px; line-height: 1.4; font-weight:500; color:#FFFFFF; background:rgba(255,255,255,0.08); border-left:4px solid #2BB3A3; padding:10px 12px; border-radius:8px; margin-bottom:14px;"">All SoCO community members are encouraged to respond, including clinicians, scientists, trainees, APPs, and others interested in MCC.</div><div style=""display:inline-block; background:rgba(255,255,255,0.10); border:1px solid rgba(255,255,255,0.22); border-radius:999px; padding:6px 12px; font-size:15px; font-weight:700; margin-bottom: 14px; color:#FFFFFF;"">June 12 Journal Club</div><div style=""font-size: 15.5px; line-height: 1.45; font-weight:400; color:#E8ECEF; max-width: 760px;"">This brief pre-session survey will capture current practice patterns and areas of uncertainty around adjuvant primary-site radiation after complete excision of Merkel cell carcinoma.</div></div>","","","","","","","","","","","","",""
"background_header","soco_jc_survey","","descriptive","<div style=""background:#F3F6FA; border-left:6px solid #2F80ED; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Participant Background</strong><br><span style=""font-weight:400;"">These questions help us understand the clinical context of survey responses.</span></div>","","","","","","","","","","","","",""
"respondent_name","soco_jc_survey","","text","Please provide your name (optional).","","","","","","","","","","","","",""
"primary_role","soco_jc_survey","","radio","Which of the following best describes your primary role?","1, Medical Oncology | 2, Medical Dermatology | 3, Mohs Surgery | 4, Surgical Oncology | 5, ENT | 6, Radiation Oncology | 7, Pathology / Dermatopathology | 8, Research | 9, Trainee | 10, APP | 11, Other","","","","","","","","","","","",""
"mcc_patients_per_month","soco_jc_survey","","radio","How many patients with Merkel cell carcinoma do you personally evaluate or manage in a typical month?","1, 0 | 2, 1-5 | 3, 6-10 | 4, >10 | 5, Not applicable to my role","","","","","","","","","","","",""
"practice_header","soco_jc_survey","","descriptive","<div style=""background:#F4F8F4; border-left:6px solid #2E7D32; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Baseline Practice: Adjuvant Primary-Site Radiation</strong><br><span style=""font-weight:400;"">Unless otherwise specified, these questions refer to clinically localized MCC after complete excision with pathologically negative margins.</span></div>","","","","","","","","","","","","",""
"primary_rt_frequency","soco_jc_survey","","radio","For clinically localized MCC with negative surgical margins and no clinically evident nodal or distant disease, how often do you recommend or support adjuvant radiation therapy to the primary tumor site?","1, Almost always | 2, Often, depending on risk factors | 3, Sometimes | 4, Rarely or never | 5, Not sure / not applicable","","","","","","","","","","","",""
"primary_rt_dose_fractionation","soco_jc_survey","","radio","When you do recommend or support adjuvant radiation to the primary tumor site after complete excision of clinically node-negative MCC, what dose/fractionation do you most commonly use?","1, I generally do not recommend adjuvant RT in this setting | 2, Conventional fractionation, approximately 50-56 Gy | 3, Moderate hypofractionation, such as 20-36 Gy over multiple fractions | 4, Single-fraction 8 Gy | 5, My approach varies substantially by clinical scenario | 6, Other | 7, Not sure / not applicable","","","","","","","","","","","",""
"primary_rt_dose_fractionation_other","soco_jc_survey","","notes","If other, please specify the dose/fractionation approach:","","","","","","","[primary_rt_dose_fractionation] = '6'","","","","","",""
"rt_fractionation_varies_by_risk","soco_jc_survey","","radio","How much does your preferred dose/fractionation change based on perceived risk of local recurrence?","1, Substantially - I use different approaches for lower- versus higher-risk cases | 2, Somewhat - I individualize, but usually within a limited range | 3, Minimally - I generally use the same dose/fractionation when I radiate | 4, I generally do not recommend adjuvant RT in this setting | 5, Not sure / not applicable","","","","","","","","","","","",""
"rt_decision_factors","soco_jc_survey","","checkbox","Which factors most strongly influence your decision about adjuvant primary-site radiation? (Select all that apply)","1, Tumor size >1 cm | 2, Head and neck location | 3, Lymphovascular invasion | 4, Close or positive margin | 5, Immunosuppression | 6, Positive sentinel lymph node biopsy | 7, Patient age, frailty, or treatment burden | 8, Confidence in surveillance / salvage if local recurrence occurs | 9, Other","","","","","","","","","","","",""
"rt_decision_factors_other","soco_jc_survey","","notes","If other, please specify:","","","","","","","[rt_decision_factors(9)] = '1'","","","","","",""
"estimated_lr_risk","soco_jc_survey","","radio","Before this Journal Club, what local recurrence risk would you generally estimate after margin-negative excision alone for a clinically localized MCC primary?","1, <2% | 2, 2-5% | 3, 6-10% | 4, >10% | 5, Not sure","","","","","","","","","","","",""
"evidence_header","soco_jc_survey","","descriptive","<div style=""background:#FFF8E6; border-left:6px solid #F2A900; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Evidence Interpretation</strong><br><span style=""font-weight:400;"">These questions ask how you interpret evidence about local recurrence risk and omission of adjuvant radiation.</span></div>","","","","","","","","","","","","",""
"paper_familiarity","soco_jc_survey","","radio","Before this Journal Club, how familiar were you with the Kavanagh et al. study on local recurrence after complete surgical excision of primary Merkel cell carcinoma?","1, Very or moderately familiar | 2, Somewhat familiar | 3, Minimally familiar | 4, Not familiar at all","","","","","","","","","","","",""
"evidence_to_change_rt","soco_jc_survey","","radio","What would most likely change your current practice regarding use or omission of adjuvant primary-site radiation after complete excision of clinically localized MCC?","1, The Kavanagh et al. data are already practice-informing | 2, Additional multi-institutional retrospective data | 3, Prospective registry or clinical trial data | 4, Updated NCCN or other guideline recommendations | 5, My practice is unlikely to change based on additional evidence | 6, Not sure / not applicable","","","","","","","","","","","",""
"guideline_vs_individualized","soco_jc_survey","","radio","When guideline-defined adverse features are present after margin-negative excision, how do you generally approach adjuvant primary-site radiation?","1, Generally follow guideline-based recommendation for RT | 2, Individualize based on overall recurrence risk and treatment burden | 3, Often discuss omission of RT in selected patients | 4, Not sure / not applicable","","","","","","","","","","","",""
"scenario_header","soco_jc_survey","","descriptive","<div style=""background:#F7F2FA; border-left:6px solid #7B2CBF; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Clinical Scenarios</strong><br><span style=""font-weight:400;"">Please indicate the approach you would generally support, expect, or discuss in your practice setting. If you do not personally make treatment recommendations for MCC, please select the option that best fits your role. If you recommend radiation in a scenario, a brief follow-up question may ask about dose/fractionation.</span></div>","","","","","","","","","","","","",""
