"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","soco_jc_survey","","text","Record ID","","","","","","","","","","","","",""
"who_are_you","soco_jc_survey","Question 1","radio","Which of the following best describes you?","medical_oncologist, Medical Oncologist | medical_dermatologist, Medical Dermatologist | surgical_oncologist, Surgical Oncologist | mohs_surgeon, Mohs Surgeon | radiation_oncologist, Radiation Oncologist | non_clinician_researcher, Non-Clinician Researcher | student_trainee, Student/Trainee | advanced_practice_provider, Advanced Practice Provider | other, Other","","","","","","","","","","","",""
"patients_per_month","soco_jc_survey","Question 2","radio","How many advanced melanoma patients do you see each month?","1_2, 1-2 | 3_5, 3-5 | 6_10, 6-10 | 11_20, 11-20 | greater_than_20, >20 | i_am_a_clinician_but_i_do_not_manage_melanoma_patients, I am a clinician but I do not manage melanoma patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"pd1_refractory_exposure","soco_jc_survey","Question 3","radio","How often do you care for patients with PD-1 refractory advanced melanoma?","frequently, Frequently | occasionally, Occasionally | rarely, Rarely | never, Never | i_am_a_clinician_but_i_do_not_manage_melanoma_patients, I am a clinician but I do not manage melanoma patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"intratumoral_therapy_experience","soco_jc_survey","Question 4","radio","Have you ever used an intratumoral therapy (for example, T-VEC) for melanoma?","yes, Yes | no, No | familiar_with_these_therapies_but_have_not_used_one, Familiar with these therapies but have not used one | i_am_a_clinician_but_i_do_not_manage_melanoma_patients, I am a clinician but I do not manage melanoma patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"oncolytic_familiarity","soco_jc_survey","Question 5","radio","Before this journal club, how familiar were you with oncolytic virus therapies such as T-VEC or RP1?","very_familiar, Very familiar | moderately_familiar, Moderately familiar | somewhat_familiar, Somewhat familiar | minimally_familiar, Minimally familiar | not_familiar_at_all, Not familiar at all","","","","","","","","","","","",""
"ignyte_familiarity","soco_jc_survey","Question 6","radio","Before this journal club, how familiar were you with the IGNYTE study of RP1 plus nivolumab in anti-PD-1 failed melanoma?","very_familiar, Very familiar | moderately_familiar, Moderately familiar | somewhat_familiar, Somewhat familiar | minimally_familiar, Minimally familiar | not_familiar_at_all, Not familiar at all","","","","","","","","","","","",""
"single_arm_persuasiveness","soco_jc_survey","Question 7","radio","In general, how persuasive do you find single-arm trials evaluating new therapies in PD-1 refractory melanoma?","often_sufficient_for_clinical_decision_making, Often sufficient for clinical decision-making | persuasive_when_results_substantially_exceed_historical_expectations, Persuasive when results substantially exceed historical expectations | hypothesis_generating_but_rarely_practice_changing, Hypothesis-generating but rarely practice-changing | rarely_persuasive_without_randomized_data, Rarely persuasive without randomized data | not_sure, Not sure","","","","","","","","","","","",""
"orr_clinical_meaningfulness","soco_jc_survey","Question 8","radio","In PD-1 refractory melanoma, how clinically meaningful do you consider objective response rate (ORR) as a primary endpoint?","highly_meaningful_if_responses_are_durable, Highly meaningful if responses are durable | moderately_meaningful_but_insufficient_alone, Moderately meaningful but insufficient alone | useful_mainly_as_a_signal_detection_endpoint, Useful mainly as a signal-detection endpoint | limited_clinical_relevance_without_pfs_or_os_support, Limited clinical relevance without PFS or OS support | not_sure, Not sure","","","","","","","","","","","",""
"systemic_response_plausibility","soco_jc_survey","Question 9","radio","How biologically plausible do you find the idea that an intratumoral oncolytic therapy can induce meaningful systemic responses in uninjected lesions?","highly_plausible, Highly plausible | plausible_but_still_somewhat_uncertain, Plausible but still somewhat uncertain | possible_but_not_strongly_supported, Possible but not strongly supported | unlikely_to_meaningfully_affect_visceral_disease, Unlikely to meaningfully affect visceral disease | not_sure, Not sure","","","","","","","","","","","",""
"injected_vs_systemic_inference","soco_jc_survey","Question 10","radio","When evaluating an intratumoral therapy, how much weight should responses in injected lesions carry when inferring systemic clinical benefit?","high_weight, High weight | moderate_weight_if_durability_is_shown, Moderate weight if durability is shown | limited_weight_unless_non_injected_lesions_also_respond, Limited weight unless non-injected lesions also respond | minimal_weight_because_of_local_treatment_effects, Minimal weight because of local treatment effects | not_sure, Not sure","","","","","","","","","","","",""
"ignyte_approval_view","soco_jc_survey","Question 11","radio","Based on your current understanding, should the IGNYTE study have been sufficient to support FDA approval of RP1 in PD-1 refractory melanoma?","yes_evidence_appears_sufficient_for_accelerated_approval, Yes — evidence appears sufficient for accelerated approval | possibly_acceptable_with_post_marketing_requirements, Possibly — acceptable with post-marketing requirements | uncertain, Uncertain | probably_not_sufficient_without_randomized_data, Probably not sufficient without randomized data | definitely_not_sufficient_for_accelerated_approval, Definitely not sufficient for accelerated approval","","","","","","","","","","","",""
"ignyte_main_limitation","soco_jc_survey","Question 12","checkbox","What do you see as the primary limitation(s) of the IGNYTE study?","single_arm_design, Single-arm design | heterogeneous_patient_population, Heterogeneous patient population | unclear_contribution_of_rp1_versus_nivolumab, Unclear contribution of RP1 versus nivolumab | interpretability_of_orr_endpoint, Interpretability of ORR endpoint | injected_versus_non_injected_lesion_issues, Injected versus non-injected lesion issues | limited_comparator_context, Limited comparator context | external_validity_concerns, External validity concerns | sample_size, Sample size | other, Other | none_the_study_was_adequate, None the study was adequate","","","","","","","","","","","",""
"contribution_of_components","soco_jc_survey","Question 13","radio","How confidently can the treatment effect observed in IGNYTE be attributed specifically to RP1 rather than nivolumab alone?","highly_confident_rp1_contributes_meaningful_activity, Highly confident RP1 contributes meaningful activity | moderately_confident_rp1_contributes_activity, Moderately confident RP1 contributes activity | uncertain_contribution_of_rp1, Uncertain contribution of RP1 | likely_primarily_driven_by_nivolumab, Likely primarily driven by nivolumab | cannot_determine_from_available_data, Cannot determine from available data","","","","","","","","","","","",""
"ich_e9_familiarity","soco_jc_survey","Question 14","radio","Before this journal club, how familiar were you with the ICH E9(R1) estimand framework?","very_familiar_i_have_used_it_in_protocol_design_1_review_1_or_analysis, Very familiar — I have used it in protocol design, review, or analysis | moderately_familiar, Moderately familiar | somewhat_familiar_i_have_heard_of_estimands, Somewhat familiar — I have heard of estimands | minimally_familiar, Minimally familiar | not_familiar_at_all, Not familiar at all","","","","","","","","","","","",""
"ich_e9_prior_use","soco_jc_survey","Question 15","radio","Have you ever used ICH E9(R1) or estimand thinking when reviewing or designing a clinical trial protocol?","yes_directly, Yes — directly | yes_indirectly_or_conceptually, Yes — indirectly or conceptually | no, No | not_sure, Not sure","","","","","","","","","","","",""
"ignyte_estimand_clarity","soco_jc_survey","Question 16","radio","How clearly do you think the IGNYTE study defines the treatment effect it aims to estimate?","very_clearly_defined, Very clearly defined | mostly_clear, Mostly clear | somewhat_unclear, Somewhat unclear | substantially_unclear, Substantially unclear | not_sure, Not sure","","","","","","","","","","","",""
"preferred_confirmatory_design","soco_jc_survey","Question 17","radio","Which confirmatory trial design would provide the most convincing evidence for RP1 in this setting?","randomized_against_physician_s_choice_therapy, Randomized against physician's choice therapy | randomized_rp1_plus_nivolumab_versus_nivolumab_based_control, Randomized RP1 plus nivolumab versus nivolumab-based control | external_control_using_high_quality_real_world_data, External control using high-quality real-world data | single_arm_study_with_stronger_endpoint_framework, Single-arm study with stronger endpoint framework | other, Other | not_sure, Not sure","","","","","","","","","","","",""
"evidence_threshold_for_use","soco_jc_survey","Question 18","radio","What level of evidence would you require before using RP1 in routine practice for PD-1 refractory melanoma?","current_evidence_is_sufficient, Current evidence is sufficient | fda_approval_would_be_sufficient, FDA approval would be sufficient | randomized_phase_ii_evidence_would_be_required, Randomized phase II evidence would be required | phase_iii_evidence_would_be_required, Phase III evidence would be required | guideline_inclusion_would_be_required, Guideline inclusion would be required | real_world_validation_would_be_required, Real-world validation would be required | not_sure, Not sure","","","","","","","","","","","",""
"implementation_barriers","soco_jc_survey","Question 19","checkbox","Which factors might limit adoption of intratumoral oncolytic immunotherapy in practice?","need_for_injectable_lesions, Need for injectable lesions | logistical_complexity_of_intratumoral_administration, Logistical complexity of intratumoral administration | limited_comparative_data_versus_existing_options, Limited comparative data versus existing options | reimbursement_concerns, Reimbursement concerns | uncertainty_about_durability_of_benefit, Uncertainty about durability of benefit | toxicity_concerns, Toxicity concerns | lack_of_clinician_familiarity, Lack of clinician familiarity | institutional_workflow_constraints, Institutional workflow constraints | other, Other","","","","","","","","","","","",""
"key_uncertainty","soco_jc_survey","Question 20","notes","What is the single biggest uncertainty preventing clear interpretation of the IGNYTE study?","","","","","","","","","","","","",""
