"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","soco_jc_survey","","text","Record ID","","","","","","","","","","","","",""
"survey_intro","soco_jc_survey","","descriptive","<div style=""background: linear-gradient(135deg, #1A1F26, #2B2F33); color: white; padding: 24px 28px; border-radius: 16px; margin-bottom: 24px; box-shadow: 0 4px 14px rgba(0,0,0,0.18); border-top: 6px solid #E25A4E;""><div style=""font-size: 26px; font-weight: 800; margin-bottom: 8px;"">SoCO Journal Club Pre-Survey</div><div style=""font-size: 17px; font-weight: 700; margin-bottom: 8px; color:#F2F4F6;"">Adjuvant Radiation After Complete Excision of Primary Merkel Cell Carcinoma</div><div style=""font-size: 16px; line-height: 1.5; opacity: 0.95;""><strong>Journal Club date: June 12.</strong> This brief pre-session survey is intended to capture current practice patterns, areas of uncertainty, and clinical decision-making around adjuvant primary-site radiation therapy after complete surgical excision of Merkel cell carcinoma.</div></div>","","","","","","","","","","","","",""
"background_header","soco_jc_survey","","descriptive","<div style=""background:#F3F6FA; border-left:6px solid #2F80ED; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Participant Background</strong><br><span style=""font-weight:400;"">These questions help us understand the clinical context of survey responses.</span></div>","","","","","","","","","","","","",""
"respondent_name","soco_jc_survey","","text","Please provide your name (optional).","","","","","","","","","","","","",""
"primary_role","soco_jc_survey","","radio","Which of the following best describes your primary role?","1, Medical Oncologist | 2, Medical Dermatologist | 3, Surgical Oncologist | 4, Mohs Surgeon | 5, Radiation Oncologist | 6, Dermatopathologist / Pathologist | 7, Non-Clinician Researcher | 8, Student / Trainee | 9, Advanced Practice Provider | 10, Patient or Patient Advocate | 11, Pharmaceutical / Industry | 12, Other","","","","","","","","","","","",""
"mcc_patients_per_year","soco_jc_survey","","radio","How many patients with Merkel cell carcinoma do you personally evaluate or manage in a typical year?","1, 0 | 2, 1-2 | 3, 3-5 | 4, 6-10 | 5, 11-20 | 6, >20 | 7, I am a clinician but do not personally manage MCC patients | 8, I am not a clinician","","","","","","","","","","","",""
"rt_decision_involvement","soco_jc_survey","","radio","How often are you involved in decisions about adjuvant radiation therapy for patients with Merkel cell carcinoma?","1, Frequently | 2, Occasionally | 3, Rarely | 4, Never | 5, Not applicable to my role","","","","","","","","","","","",""
"practice_header","soco_jc_survey","","descriptive","<div style=""background:#F4F8F4; border-left:6px solid #2E7D32; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Baseline Practice: Adjuvant Primary-Site Radiation</strong><br><span style=""font-weight:400;"">Unless otherwise specified, these questions refer to clinically localized MCC after complete excision with pathologically negative margins.</span></div>","","","","","","","","","","","","",""
"primary_rt_frequency","soco_jc_survey","","radio","In a patient with clinically localized MCC, negative surgical margins, and no clinically evident nodal or distant disease, how often do you recommend or support adjuvant radiation therapy to the primary tumor site?","1, Almost always | 2, Often, depending on risk factors | 3, Sometimes | 4, Rarely | 5, Almost never | 6, Not sure / not applicable","","","","","","","","","","","",""
"rt_push_toward","soco_jc_survey","","checkbox","Which features most strongly push you toward recommending adjuvant radiation to the primary tumor site? (Select all that apply)","1, Tumor size >1 cm | 2, Tumor size >2 cm | 3, Head and neck primary site | 4, Lymphovascular invasion | 5, Positive or close surgical margin | 6, Immunosuppression | 7, Chronic lymphocytic leukemia or other hematologic malignancy | 8, Solid organ transplant history | 9, Recurrent MCC | 10, Patient preference for maximal local control | 11, Concern about reliability of surveillance | 12, Other | 13, None of these strongly influence my recommendation","","","","","","","","","","","",""
"rt_push_toward_other","soco_jc_survey","","notes","If other, please specify the feature that pushes you toward adjuvant radiation:","","","","","","","[rt_push_toward(12)] = '1'","","","","","",""
"rt_push_away","soco_jc_survey","","checkbox","Which factors most strongly push you away from recommending adjuvant radiation to the primary tumor site? (Select all that apply)","1, Small primary tumor | 2, Negative sentinel lymph node biopsy | 3, Wide negative margins | 4, No lymphovascular invasion | 5, Extremity or trunk location | 6, Advanced age | 7, Frailty or competing health risks | 8, Transportation or logistical barriers | 9, Concern about toxicity or functional/cosmetic morbidity | 10, Patient preference to avoid radiation | 11, Belief that local recurrence can usually be salvaged | 12, Other | 13, None of these strongly influence my recommendation","","","","","","","","","","","",""
"rt_push_away_other","soco_jc_survey","","notes","If other, please specify the factor that pushes you away from adjuvant radiation:","","","","","","","[rt_push_away(12)] = '1'","","","","","",""
"local_recurrence_view","soco_jc_survey","","radio","In your current practice, how do you generally conceptualize isolated local recurrence after complete excision of MCC?","1, A major event that should be prevented whenever possible, even at the cost of overtreatment | 2, An important event, but often salvageable if detected early | 3, A relatively low-priority endpoint compared with nodal or distant recurrence | 4, It depends heavily on anatomic site and patient-specific factors | 5, Not sure","","","","","","","","","","","",""
"estimated_lr_risk","soco_jc_survey","","radio","Before this Journal Club, what local recurrence risk would you generally estimate after margin-negative excision alone for a clinically localized MCC primary?","1, <2% | 2, 2-5% | 3, 6-10% | 4, 11-20% | 5, >20% | 6, Not sure","","","","","","","","","","","",""
"evidence_header","soco_jc_survey","","descriptive","<div style=""background:#FFF8E6; border-left:6px solid #F2A900; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Evidence Interpretation</strong><br><span style=""font-weight:400;"">These questions ask how you interpret evidence about local recurrence risk and omission of adjuvant radiation.</span></div>","","","","","","","","","","","","",""
"paper_familiarity","soco_jc_survey","","radio","Before this Journal Club, how familiar were you with the Kavanagh et al. study on local recurrence after complete surgical excision of primary Merkel cell carcinoma?","1, Very familiar | 2, Moderately familiar | 3, Somewhat familiar | 4, Minimally familiar | 5, Not familiar at all","","","","","","","","","","","",""
"single_inst_persuasive","soco_jc_survey","","radio","How persuasive do you find large single-institution retrospective data when evaluating whether adjuvant radiation can be omitted in selected MCC patients?","1, Highly persuasive if the cohort is large and follow-up is mature | 2, Moderately persuasive, especially if results are clinically consistent | 3, Hypothesis-generating but insufficient to change practice | 4, Rarely persuasive without randomized data | 5, Not sure","","","","","","","","","","","",""
"evidence_to_change_rt","soco_jc_survey","","radio","What type of evidence would most likely change your threshold for recommending adjuvant primary-site radiation in MCC?","1, This type of large single-institution cohort is sufficient | 2, Multi-institutional retrospective cohort | 3, Prospective observational registry | 4, Randomized trial | 5, Meta-analysis or systematic review | 6, Updated guideline recommendation | 7, Nothing is likely to change my current practice | 8, Not sure","","","","","","","","","","","",""
"scenario_header","soco_jc_survey","","descriptive","<div style=""background:#F7F2FA; border-left:6px solid #7B2CBF; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Clinical Scenarios</strong><br><span style=""font-weight:400;"">For each scenario, please indicate your general approach to the primary tumor site.</span></div>","","","","","","","","","","","","",""
"scenario1_rt","soco_jc_survey","","radio","Scenario 1: A 74-year-old immunocompetent patient has a 0.8 cm MCC on the forearm. Wide excision shows negative margins. Lymphovascular invasion is absent. Sentinel lymph node biopsy is negative. What would you generally recommend for the primary tumor site?","1, Observation / no adjuvant RT | 2, Discuss RT but generally do not recommend it | 3, Recommend adjuvant RT | 4, Strongly recommend adjuvant RT | 5, Not enough information / depends on additional details","","","","","","","","","","","",""
"scenario1_reason","soco_jc_survey","","notes","What is the main reason for your recommendation in Scenario 1?","","","","","","","","","","","","",""
"scenario2_rt","soco_jc_survey","","radio","Scenario 2: A 76-year-old immunocompetent patient has a 1.6 cm MCC on the cheek. Wide excision shows negative margins. Lymphovascular invasion is present. Sentinel lymph node biopsy is negative. What would you generally recommend for the primary tumor site?","1, Observation / no adjuvant RT | 2, Discuss RT but generally do not recommend it | 3, Recommend adjuvant RT | 4, Strongly recommend adjuvant RT | 5, Not enough information / depends on additional details","","","","","","","","","","","",""
"scenario2_reason","soco_jc_survey","","notes","What is the main reason for your recommendation in Scenario 2?","","","","","","","","","","","","",""
"scenario3_rt","soco_jc_survey","","radio","Scenario 3: An 84-year-old patient with frailty and multiple comorbidities has a 2.2 cm MCC on the lower leg. Wide excision shows negative margins. Lymphovascular invasion is present. Sentinel lymph node biopsy is negative. The patient lives far from the radiation center and is concerned about treatment burden. What would you generally recommend for the primary tumor site?","1, Observation / no adjuvant RT | 2, Discuss RT but generally do not recommend it | 3, Recommend adjuvant RT | 4, Strongly recommend adjuvant RT | 5, Not enough information / depends on additional details","","","","","","","","","","","",""
"scenario3_reason","soco_jc_survey","","notes","What is the main reason for your recommendation in Scenario 3?","","","","","","","","","","","","",""
"uncertainty_header","soco_jc_survey","","descriptive","<div style=""background:#FFF1F1; border-left:6px solid #C0392B; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Key Uncertainties and Discussion Priorities</strong><br><span style=""font-weight:400;"">These final questions will help shape the Journal Club discussion.</span></div>","","","","","","","","","","","","",""
"key_uncertainty","soco_jc_survey","","notes","What is the single biggest uncertainty in deciding whether to recommend adjuvant primary-site radiation after complete excision of MCC?","","","","","","","","","","","","",""
"jc_discussion_question","soco_jc_survey","","notes","What question would you most like to see discussed during the Journal Club?","","","","","","","","","","","","",""
