"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,the_art_of_the_review,,text,"Record ID",,,,,,,,,,,,,
role,the_art_of_the_review,"Question 1",checkbox,"Which of the following roles have you played in the scientific review process?","author, author | reviewer, reviewer | editor, editor",,,,,,,,,,,,
course,the_art_of_the_review,"Question 2",radio,"Have you taken a course on how to review a scientific manuscript?","no, No | yes, Yes",,,,,,,,,,,,
review_asked,the_art_of_the_review,"Question 3",radio,"How many papers are you invited to review each year?","0, 0 | 1_3, 1-3 | 4_6, 4-6 | 7_9, 7-9 | atleast__10, ≥10",,,,,,,,,,,,
papers_reviewed,the_art_of_the_review,"Question 4",radio,"How many papers do you accept to review per year?","0, 0 | 1_3, 1-3 | 4_6, 4-6 | 7_9, 7-9 | atleast__10, ≥10",,,,,,,,,,,,
reason_why,the_art_of_the_review,"Question 5",radio,"In general, what is the most common reason you agree to review an article?","honored_that_you_were_asked, Honored that you were asked | sense_of_academic_duty, Sense of academic duty | invitation_came_from_a_colleague_or_mentor, Invitation came from a colleague or mentor | desire_to_better_the_field, Desire to better the field | need_cme_credit, Need CME credit | desire_to_improve_your_CV, Desire to improve your CV | opportunity_to_read_latest_science, Opportunity to review the latest science before it is in the public domain | improve_critical_thinking_skills, Process of peer review will improve critical thinking skills and it will make you a more effective researcher",,,,,,,,,,,,
time,the_art_of_the_review,"Question 6",radio,"How long do you spend, on average, to review a typical manuscript (minutes)?","15_29, 15-29 | 30_59, 30-59 | 60_89, 60-89 | 90_119, 90-120 | atleast__120, ≥120",,,,,,,,,,,,
incentivized,the_art_of_the_review,"Question 7",radio,"Do you feel sufficiently incentivized to review articles in our current system?","no, No | yes, Yes",,,,,,,,,,,,
compensation,the_art_of_the_review,"Question 8",radio,"Do you think reviewers should be compensated (e.g. CME credit or $$) for their time and effort?","no, No | yes, Yes",,,,,,,,,,,,
paid,the_art_of_the_review,"Question 9",radio,"Do you think reviewers should be compensated financially ($$) for their time and effort?","no, No | yes, Yes",,,,,,,,,,,,
coi_1,the_art_of_the_review,"Question 10",radio,"You are invited to review a manuscript. An investigator who you've published with before is listed as first author. Do you accept the invitation to review? ","no, No | yes, Yes",,,,,,,,,,,,
coi_2,the_art_of_the_review,"Question 11",radio,"You are invited to review a manuscript. An investigator who you've published with before is listed as a middle author on a study. Do you accept the invitation to review? ","no, No | yes, Yes",,,,,,,,,,,,
approach,the_art_of_the_review,"Question 12",radio,"Which of the following review approach do you prefer?","closed__peer__review, Closed peer review | double_blind__peer__review, Double-blind peer review | open__peer__review, Open peer review",,,,,,,,,,,,
trial_1,the_art_of_the_review,"Question 13",radio,"Would you recommend ""reject"" for a manuscript of a well conducted study that was a worthwhile contribution to the field, but could not be revised (e.g. a completed clinically trial) simply because you didn't believe it met the impact standards of the selected journal (e.g. the study was small and was not necessarily ""practice changing"")?","no, No | yes, Yes",,,,,,,,,,,,
